year,hunt_number,hunt_name,species,sex_type,hunt_type,weapon,hunt_class,access_type,permits_res,permits_nr,permits_total,hunters,harvest,success_percent,avg_days,satisfaction,source_type
2025,BI1000,Bison - Statewide Permit,Bison,Hunter's Choice,Statewide,Any Legal Weapon,Statewide,Public,,,,2.0,2.0,100.0,1.0,5.0,2025 carry-forward / hunt_join_2025
2026,BI1000,Bison - Statewide Permit,Bison,Hunter's Choice,Statewide,Any Legal Weapon,Statewide,Public,,,,,,,,,2026 official/source build
2025,BI6500,Antelope Island,Bison,Hunter's Choice,Once-in-a-lifetime,Any Legal Weapon,Once-in-a-Lifetime,Public,2.0,0.0,2.0,2.0,2.0,100.0,1.0,5.0,2025 carry-forward / hunt_join_2025
2026,BI6500,Antelope Island,Bison,Hunter's Choice,Once-in-a-lifetime,Any Legal Weapon,Once-in-a-Lifetime,Public,2.0,0.0,2.0,,,,,,2026 official/source build
2025,BI6503,Henry Mtns,Bison,Hunter's Choice,Once-in-a-lifetime,Any Legal Weapon,Once-in-a-Lifetime,Public,5.0,2.0,7.0,15.0,14.0,93.3,2.4,4.6,2025 carry-forward / hunt_join_2025
2026,BI6503,Henry Mtns,Bison,Hunter's Choice,Once-in-a-lifetime,Any Legal Weapon,Once-in-a-Lifetime,Public,4.0,2.0,6.0,,,,,,2026 official/source build
2025,BI6504,Henry Mtns,Bison,Hunter's Choice,Once-in-a-lifetime,Any Legal Weapon,Once-in-a-Lifetime,Public,5.0,2.0,7.0,13.0,13.0,100.0,4.5,4.2,2025 carry-forward / hunt_join_2025
2026,BI6504,Henry Mtns,Bison,Hunter's Choice,Once-in-a-lifetime,Any Legal Weapon,Once-in-a-Lifetime,Public,5.0,2.0,7.0,,,,,,2026 official/source build
2025,BI6505,Henry Mtns,Bison,Antlerless,Once-in-a-lifetime,Any Legal Weapon,Once-in-a-Lifetime,Public,25.0,4.0,29.0,28.0,22.0,78.6,4.0,4.0,2025 carry-forward / hunt_join_2025
2026,BI6505,Henry Mtns,Bison,Antlerless,Once-in-a-lifetime,Any Legal Weapon,Once-in-a-Lifetime,Public,8.0,3.0,11.0,,,,,,2026 official/source build
2025,BI6506,Henry Mtns,Bison,Antlerless,Once-in-a-lifetime,Any Legal Weapon,Once-in-a-Lifetime,Public,30.0,0.0,30.0,29.0,27.0,93.1,5.5,4.3,2025 carry-forward / hunt_join_2025
2026,BI6506,Henry Mtns,Bison,Antlerless,Once-in-a-lifetime,Any Legal Weapon,Once-in-a-Lifetime,Public,11.0,0.0,11.0,,,,,,2026 official/source build
2025,BI6509,Henry Mtns,Bison,Hunter's Choice,Once-in-a-lifetime,Archery,Once-in-a-Lifetime,Public,4.0,0.0,4.0,3.0,2.0,66.7,7.0,4.3,2025 carry-forward / hunt_join_2025
2026,BI6509,Henry Mtns,Bison,Hunter's Choice,Once-in-a-lifetime,Archery,Once-in-a-Lifetime,Public,5.0,0.0,5.0,,,,,,2026 official/source build
