hunt_code,boundary_id,boundary_ids,hunt_name,species,hunt_class,hunt_type,draw_family,weapon,sex_type,youth_flag,eligibility_class,season,permits_2025_res,permits_2025_nr,permits_2025_total,avg_points_2025,hunters_2025,harvest_2025,success_percent_2025,avg_days_2025,satisfaction_2025,access_type,permits_2026_res,permits_2026_nr,permits_2026_total,permit_status,has_harvest,has_bonus_draw,has_antlerless_draw,source_file,permit_overlay_source,source_authority,data_status,is_multi_unit,multi_unit_reason
BI1000,,637 | 667 | 889,Bison - Statewide Permit,Bison,Statewide Permit,Statewide,NONE,Any Legal Weapon,Hunter's Choice,False,STANDARD,"Aug 1, 2026 - Jan 31, 2027",,,,,2.0,2.0,100.0,1.0,5.0,Public,,,,MISSING,True,False,False,bison bull.csv,,official_uploaded_source,MISSING_STATEWIDE_SOURCE,true,statewide
BR1000,,7 | 12 | 52 | 88 | 92 | 93 | 138 | 163 | 175 | 289 | 444 | 448 | 449 | 455 | 456 | 457 | 462 | 463 | 610 | 611 | 613 | 615 | 616 | 628 | 629 | 630 | 684 | 710 | 744 | 845,Black Bear - Statewide Permit,Black Bear,Statewide Permit,Statewide,NONE,Any Legal Weapon,Either Sex,False,STANDARD,Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates,,,,,,,,,,Public,,,,MISSING,,,,black bear.csv,,official_uploaded_source,MISSING_STATEWIDE_SOURCE,true,statewide
CG9999,,8 | 16 | 26 | 29 | 56 | 57 | 59 | 63 | 71 | 75 | 76 | 86 | 88 | 94 | 97 | 117 | 140 | 143 | 163 | 172 | 191 | 226 | 234 | 237 | 239 | 243 | 247 | 276 | 444 | 445 | 446 | 609 | 613 | 625 | 629 | 630 | 632 | 633 | 634 | 635 | 668 | 672 | 681 | 683 | 684 | 685 | 711 | 729 | 730 | 752 | 753 | 818 | 819,Cougar - Statewide,Cougar,Statewide Permit,Statewide,NONE,Any Legal Weapon,Either Sex,False,STANDARD,open,,,,,,,,,,Public,,,,MISSING,,,,cougar.csv,,official_uploaded_source,MISSING_STATEWIDE_SOURCE,true,statewide
DB0007,,7 | 15 | 32 | 85 | 94 | 108 | 138 | 163 | 185 | 206 | 248 | 609 | 610 | 611 | 612 | 613 | 615 | 621 | 625 | 628 | 629 | 630 | 632 | 633 | 635 | 636 | 714 | 802,Buck Deer - Statewide Permit,Deer,Statewide Permit,Statewide,NONE,Any Legal Weapon,Buck,False,STANDARD,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",,,,,2.0,2.0,100.0,8.5,5.0,Public,,,,MISSING,True,False,False,BUCK DEER.csv,,official_uploaded_source,MISSING_STATEWIDE_SOURCE,true,statewide
EB1000,,12 | 17 | 33 | 36 | 41 | 51 | 88 | 108 | 128 | 140 | 163 | 175 | 183 | 206 | 222 | 241 | 449 | 455 | 616 | 617 | 622 | 625 | 629 | 630 | 634 | 683 | 685,Elk - Statewide Permit,Elk,Statewide Permit,Statewide,NONE,Any Legal Weapon,Bull,False,STANDARD,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",,,,,2.0,2.0,100.0,26.0,5.0,Public,,,,MISSING,True,False,False,BULL ELK DATABASE.csv,,official_uploaded_source,MISSING_STATEWIDE_SOURCE,true,statewide
MB1000,,29 | 69 | 79 | 117 | 138 | 276 | 289 | 452 | 609 | 611 | 613 | 743,Moose - Statewide Permit,Moose,Statewide Permit,Statewide,NONE,Any Legal Weapon,Male Only,False,STANDARD,"Sept 1 - Nov 15, 2026",,,,,2.0,2.0,100.0,11.0,5.0,Public,,,,MISSING,True,False,False,bull moose.csv,,official_uploaded_source,MISSING_STATEWIDE_SOURCE,true,statewide
GO1000,,102 | 145 | 146 | 147 | 148 | 157 | 200 | 225 | 231 | 233 | 616 | 617 | 628 | 630,Mountain Goat - Statewide Permit,Mountain Goat,Statewide Permit,Statewide,NONE,Any Legal Weapon,Hunter's Choice,False,STANDARD,"Sept 1 - Dec 31, 2026",,,,,2.0,2.0,100.0,1.0,5.0,Public,,,,MISSING,True,False,False,mtn goat.csv,,official_uploaded_source,MISSING_STATEWIDE_SOURCE,true,statewide
PB1000,,8 | 15 | 24 | 25 | 27 | 81 | 97 | 129 | 138 | 171 | 186 | 194 | 208 | 244 | 245 | 246 | 277 | 289 | 443 | 453 | 461 | 625 | 628 | 636 | 688 | 715 | 718 | 719 | 755,Pronghorn - Statewide Permit,Pronghorn,Statewide Permit,Statewide,NONE,Any Legal Weapon,Buck,False,STANDARD,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1 - Nov 15, 2026",,,,,2.0,2.0,100.0,3.0,3.5,Public,,,,MISSING,True,False,False,pronghorn buck.csv,,official_uploaded_source,MISSING_STATEWIDE_SOURCE,true,statewide
RS0001,,15 | 20 | 75 | 616 | 620 | 668 | 820 | 821 | 823 | 854,Rocky Mountain Bighorn Sheep - Statewide Permit,Rocky Mountain Bighorn Sheep,Statewide Permit,Statewide,NONE,Any Legal Weapon,Ram,False,STANDARD,"Sept 1 - Dec 31, 2026",,,,,2.0,2.0,100.0,1.0,5.0,Public,,,,MISSING,True,False,False,rocky mtn. sheep.csv,,official_uploaded_source,MISSING_STATEWIDE_SOURCE,true,statewide
TK1000,454,454,Statewide,Turkey,Youth,General Season,NONE,Any Legal Weapon,Bearded,True,YOUTH_ONLY,"May 4 - 31, 2026 | YOUTH ONLY: May 1 - 3, 2026",,,,,,,,,,Public,,,,MISSING,,,,Turkey Bearded.csv,,official_uploaded_source,MISSING_YOUTH_SOURCE,true,statewide | youth
TK0001,454,454,Turkey - Statewide Permit,Turkey,Statewide Permit,Statewide,NONE,Any Legal Weapon,Bearded,False,STANDARD,"Apr 1 - May 31, 2026",,,,,,,,,,Public,,,,MISSING,,,,Turkey Bearded.csv,,official_uploaded_source,MISSING_STATEWIDE_SOURCE,true,statewide
