huntCode,permits,hunters,harvest,percentSuccess,avgDays,avgSatisfaction
BI6503,1,11,12,12,2.5,90.9
BI6504,1,10,11,11,4.6,90.9
BI6505,5,5,6,6,2.8,80
BI6506,6,6,8,8,8.1,75
BI6509,3,4,4,4,9.3,100
BI6516,1,8,8,8,3.1,100
BI6527,0,2,20,16,9.6,14.3
BI6528,0,1,3,3,8.7,33.3
BI6529,3,3,5,5,4.6,60
BI6530,0,5,5,5,4.3,100
BI6532,4,4,5,5,13.5,75
BI6534,0,2,5,5,6.2,40
BI6535,1,4,5,5,3.8,80
BI6536,3,3,3,3,1,100
BI6537,0,6,8,7,2,83.3
BI6538,2,2,2,1,100,175
DA1001,4,30,12,4.5,30,1
DA1002,10,28,18,3.5,55.6,5
DA1009,18,25,20,2.6,90,30
DA1011,4,5,4,1,100,1
DA1012,24,15,13,2,100,29
DA1013,3,5,4,1,75,1
DA1027,14,30,29,3.4,48.3,21
DA1030,7,25,18,5.9,38.9,11
DA1031,12,20,17,3.2,68.8,30
DA1041,3,14,9,1.5,37.5,11
DA1044,28,47,28,3.8,70.8,11
DA1045,7,14,13,3.7,54.5,23
DA1046,9,24,21,4.2,42.1,18
DA1048,8,15,13,4.1,60,21
DB0009,1,1,1,1,100,31
DB1000,11,11,11,9.7,100,27
DB1001,20,36,36,9.6,55.9,31
DB1002,1,1,1,2,100,15
DB1003,26,28,27,3.8,96.2,27
DB1004,72,87,86,7.1,83.8,15
DB1005,11,11,11,3.4,100,27
DB1006,23,30,30,5.2,77.8,15
DB1007,1,1,1,14,100,27
DB1010,19,21,21,3,90.5,27
DB1016,25,45,45,11.9,54.8,10
DB1024,127,147,147,4.2,86.6,10
DB1032,3,5,5,6.6,60,4
DB1033,5,6,6,4,80,8
DB1039,4,6,6,5.8,60,29
DB1042,27,47,46,5.2,58.1,10
DB1043,11,16,15,6.9,73.3,21
DB1048,6,6,6,14.5,100,10
DB1054,5,9,7,4.3,71.4,18
DB1055,4,6,5,6,80,7
DB1056,3,3,3,7,100,10
DB1058,13,29,28,5.4,48,27
DB1065,9,12,12,5.3,75,3
DB1073,4,4,4,7.8,100,27
DB1076,0,2,2,2,0,10
DB1077,14,23,21,3.8,65,2
DB1078,4,6,6,5.6,60,6
DB1079,29,39,38,6.1,77.1,23
DB1080,18,23,23,6.2,76.2,11
DB1082,12,13,13,4.7,92.3,28
DB1083,4,8,7,6.3,57.1,30
DB1084,4,9,9,5.3,44.4,1
DB1085,7,9,8,6,87.5,20
DB1090,5,5,5,6.4,100,5
DB1091,4,4,4,14.7,100,20
DB1100,9,10,10,4.7,88.9,5
DB1101,2,6,5,4.8,50,21
DB1103,3,6,6,4.8,50,24
DB1105,3,5,5,6.3,50,26
DB1200,18,21,21,4.9,85.7,27
DB1201,5,5,5,2.6,100,11
DB1203,5,11,11,4.1,44.4,4
DB1206,9,10,10,3.3,85.7,3
DB1207,2,4,4,2.8,50,6
DB1208,5,9,9,3.5,50,1
DB1209,9,9,9,3.2,100,1
DB1211,9,9,9,5.1,100,3
DB1215,4,6,6,3.8,60,4
DB1217,11,12,12,2.7,88.9,4
DB1219,14,16,16,3.3,86.7,1
DB1222,11,12,12,3.5,90.9,1
DB1227,17,19,19,4.1,88.9,4
DB1229,10,10,10,2.5,100,1
DB1230,13,18,18,3.3,73.3,1
DB1231,12,14,14,3.2,85.7,6
DB1232,4,7,4,3,100,6
DB1233,25,39,39,7.3,63.6,29
DB1234,6,11,11,8.1,55.6,1
DB1236,2,3,3,3.7,66.7,6
DB1237,28,32,30,3.2,95.8,1
DB1238,6,10,10,4.1,60,1
DB1239,0,1,1,7,0,1
DB1240,8,8,8,4,100,22
DB1241,4,5,5,3.2,80,6
DB1243,1,4,4,5.3,25,3
DB1244,4,7,5,3,75,5
DB1251,16,17,16,5.2,100,1
DB1252,28,32,32,2,86.4,30
DB1253,4,8,7,2.6,57.1,5
DB1258,5,8,8,4.4,57.1,5
DB1259,2,6,6,5.2,40,11
DB1263,10,10,10,3.4,100,1
DB1266,17,20,20,3.8,83.3,1
DB1273,20,22,22,3.1,88.9,11
DB1274,6,17,16,4.8,40,3
DB1276,2,2,2,1,100,1
DB1277,4,4,4,2,100,11
DB1279,2,2,2,4,100,23
DB1280,9,9,9,2.9,100,1
DB1282,17,19,18,4.6,93.3,11
DB1286,7,10,10,4.8,66.7,1
DB1288,10,15,15,6.7,66.7,3
DB1289,14,17,17,4.3,81.8,4
DB1292,10,14,13,4.4,80,3
DB1293,8,11,11,3.5,75,3
DB1295,51,56,56,3.6,91.8,2
DB1300,1,3,3,9,33.3,1
DB1301,20,20,20,3,100,6
DB1303,3,5,5,2.7,66.7,1
DB1305,2,4,4,4.8,50,1
DB1306,10,10,10,2.1,100,6
DB1307,28,44,44,4.1,64.7,6
DB1308,15,17,17,2.7,87.5,11
DB1309,16,18,18,2.8,88.9,1
DB1310,9,9,9,2.6,100,4
DB1312,0,1,1,5,0,24
DB1317,1,2,2,3.5,50,1
DB1322,9,10,10,4.8,88.9,1
DB1323,4,5,5,4.3,75,1
DB1324,2,4,4,6,50,1
DB1326,4,4,4,1.5,100,8
DB1327,6,12,12,4.6,50,29
DB1328,2,6,6,3.5,25,3
DB1331,8,10,10,3.1,77.8,1
DB1333,12,15,15,5.6,76.9,27
DB1334,2,3,3,2.7,66.7,27
DB1335,1,4,4,2.8,25,11
DB1336,2,3,3,4,66.7,4
DB1338,0,3,3,1,0,1
DB1341,10,10,10,6,100,4
DB1342,4,4,4,3.5,100,11
DB1345,9,10,10,2.4,88.9,1
DB1349,5,10,9,4.2,55.6,1
DB1501,185,905,714,6.6,25.9,2
DB1502,75,732,623,7.5,12,6
DB1503,256,1500,1305,7.1,19.6,23
DB1504,89,807,711,8.1,12.6,11
