"year","species","total_docs","harvest_docs","draw_docs","regulation_docs","coverage_status"
"2023","deer","6","4","2","0","thin"
"2023","elk","1","0","1","0","thin"
"2023","bison","4","3","1","0","thin"
"2023","pronghorn","1","0","1","0","thin"
"2023","moose","1","0","1","0","thin"
"2023","goat","1","0","1","0","thin"
"2023","sheep","1","0","1","0","thin"
"2023","turkey","0","0","0","0","missing"
"2023","bear","4","3","1","0","thin"
"2023","cougar","6","5","1","0","thin"
"2024","deer","5","2","2","1","ok"
"2024","elk","9","4","4","1","ok"
"2024","bison","2","2","0","0","thin"
"2024","pronghorn","0","0","0","0","missing"
"2024","moose","0","0","0","0","missing"
"2024","goat","0","0","0","0","missing"
"2024","sheep","0","0","0","0","missing"
"2024","turkey","0","0","0","0","missing"
"2024","bear","1","1","0","0","thin"
"2024","cougar","2","2","0","0","thin"
"2025","deer","6","1","4","1","ok"
"2025","elk","12","7","1","4","ok"
"2025","bison","12","12","0","0","thin"
"2025","pronghorn","0","0","0","0","missing"
"2025","moose","0","0","0","0","missing"
"2025","goat","4","4","0","0","thin"
"2025","sheep","8","8","0","0","thin"
"2025","turkey","1","1","0","0","thin"
"2025","bear","5","5","0","0","thin"
"2025","cougar","2","2","0","0","thin"
"2026","deer","16","3","8","5","ok"
"2026","elk","11","4","4","3","ok"
"2026","bison","3","3","0","0","thin"
"2026","pronghorn","5","3","0","2","thin"
"2026","moose","0","0","0","0","missing"
"2026","goat","0","0","0","0","missing"
"2026","sheep","0","0","0","0","missing"
"2026","turkey","1","1","0","0","thin"
"2026","bear","19","19","0","0","thin"
"2026","cougar","23","23","0","0","thin"
