"filename","final_path","source_path","doc_type","species_tags","extraction_status","publish_year","model_target_year","target_year_rule","search_text"
"B5E7AD8B__2019-20_furbearer (2023_03_22 04_23_06 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\other\B5E7AD8B__2019-20_furbearer (2023_03_22 04_23_06 UTC).pdf","D:\DOCUMENTS\PDF FILES\2019-20_furbearer (2023_03_22 04_23_06 UTC).pdf","harvest_report","","ok","2023","2023","harvest_hr_applies_to_report_year","B5E7AD8B__2019-20_furbearer (2023_03_22 04_23_06 UTC).pdf other 2023 harvest_report   2 wildlife.utah.gov wildlife.utah.gov 3 Utah Furbearer Guidebook • 2019–2020 Utah Furbearer Guidebook • 2019–2020 HIGHLIGHTS Fewer bobcat permits: This year, you may  obtain a maximum of five bobcat permits for  the season, a decrease of one permit compared  to last season. For more information on obtain- ing a permit, see page 10.  Cap on bobcat permits: Because of recent  declines in bobcat numbers, only 6,460 bobcat  permits will be sold this year. Permit sales will  begin Oct. 1, 2019 and continue until the cap  is reached or until Oct. 31, 2019, whichever  happens first. You can purchase bobcat permits  at wildlife.utah.gov and from license agents  and Division offices. For more information on  obtaining a permit, see page 10.  Shorter bobcat season: The 2019-2020  bobcat season will be one week shorter,  running from Nov. 20, 2019 to March 1, 2020.  For more information on season dates and bag  limits, see page 25.  Bobcat removal and tagging: Whether  you find a bobcat in one o"
"C829393D__2022 - 2027  Manti Special Use Permit Optimized-3 (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\other\C829393D__2022 - 2027  Manti Special Use Permit Optimized-3 (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\PDF FILES\2022 - 2027  Manti Special Use Permit Optimized-3 (2026_02_06 06_23_41 UTC).pdf","regulation","","ok","2025","2025","regulation_same_year","C829393D__2022 - 2027  Manti Special Use Permit Optimized-3 (2026_02_06 06_23_41 UTC).pdf other 2025 regulation  Use Code· 153  Aulhorizal,on ID FERJ�  Contacl Name: TYLER MILLER  E�piral1on Dale 12/31/2027  U.S. DEPARTMENT OF AGRICULTURE  FOREST SERVICE  SPECIAL USE PERMIT FOR OUTFITTING ANO GUIDING  Authority: Federal Lands Recreation Enhancement Act, 16 U.S.C. 6802(h)  (Ref. FSH 2709.11, section 41.53)  FS-27D0-4i (VER 03/17)  0MB No. 0596-0082  This permit authorizes priority use outfitting and guiding for two years with extension to live upon good performance.  TYLER MILLER of 242 NORTH 300 EAST MANTI UT 84642 (hereinafter ""the holder""). is hereby authorized to use and occupy  National Forest System lands. subject to the terms and conditions of this permit. to provide outfitting and guiding services within the  Name of Ranger District of the MANTI-LASAL NATIONAL FOREST. described as and as shown on the map of the authorized area,  attached as Appendix A. The above-described area shall be referred to as the ""permit area.""  The purpose of this permit is to authorize the following outfitting an"
"E0A5D0F6__2022 - 2027  Manti Special Use Permit.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\other\E0A5D0F6__2022 - 2027  Manti Special Use Permit.pdf","D:\DOCUMENTS\PDF FILES\2022 - 2027  Manti Special Use Permit.pdf","regulation","","ok","2025","2025","regulation_same_year","E0A5D0F6__2022 - 2027  Manti Special Use Permit.pdf other 2025 regulation  Use Code· 153  Aulhorizal,on ID FER3CPI  Con1acl Name: TYLER MILLER  E~pira11on Dale 12/31/2027  U.S. DEPARTMENT OF AGRICULTURE  FOREST SERVICE  SPECIAL USE PERMIT FOR OUTFITTING AND GUIDING  Authority: Federal Lands Recreation Enhancement Act, 16 U.S.C. 6802(h)  (Ref. FSH 2709.11, section 41.53)  FS-2700-4i (VER 03117)  0MB No. 0596-0082  This permit authorizes priority use outfitting and guiding for two years with extension to five upon good performance.  TYLER MILLER of 242 NORTH 300 EAST MANTI UT 84642 (hereinafter ""the holder""), is hereby authorized to use and occupy  National Forest System lands. subjecl lo lhe lerms and conditions of lhis permit. to provide outfitting and guiding services within the  Name of Ranger District of the MANTI-LASAL NATIONAL FOREST. described as and as shown on the map of the authorized area,  attached as Appendix A. The above-described area shall be referred to as the ""permit area.""  The purpose of this permit is to authorize the following outfitting "
"990D36FE__2023 Hunt Success %.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\other\990D36FE__2023 Hunt Success %.pdf","D:\DOCUMENTS\PDF FILES\2023 Hunt Success %.pdf","harvest_report","","ok","2023","2023","harvest_hr_applies_to_report_year","990D36FE__2023 Hunt Success %.pdf other 2023 harvest_report   2023 Once-in-a-Lifetime Bison Hunt # Hunt name Hunt type Weapon Permits Hunters  afield Harvest Average  days Percent  success Hunter  satisfaction BI0001 Antelope Island OIAL Any Legal Weapon 5 5 5 1.0 100.0 5.0 BI6500 Antelope Island OIAL Any Legal Weapon 2 2 2 1.0 100.0 5.0 BI6503 Henry Mtns OIAL Any Legal Weapon 13 13 12 4.2 92.3 4.5 BI6504 Henry Mtns OIAL Any Legal Weapon 11 11 9 4.5 81.8 4.3 BI6505 Henry Mtns OIAL Any Legal Weapon 22 22 13 5.3 59.1 3.6 BI6506 Henry Mtns OIAL Any Legal Weapon 22 22 18 5.4 83.3 3.9 BI6516 Henry Mtns OIAL Any Legal Weapon 10 9 7 5.1 77.8 4.2 BI6509 Henry Mtns OIAL Archery 5 3 0 7.0 0.0 5.0 BI6534 Book Cliffs, Bitter Creek OIAL Any Legal Weapon 5 5 5 4.3 100.0 3.3 BI6535 Book Cliffs, Bitter Creek OIAL Any Legal Weapon 5 5 2 6.4 40.0 2.4 BI6536 Book Cliffs, Bitter Creek OIAL Any Legal Weapon 5 5 2 6.4 40.0 3.6 BI6532 Book Cliffs, Bitter Creek OIAL Archery 5 5 2 11.4 40.0 2.8 BI6529 Book Cliffs, Little Creek/South OIAL Any Legal Weapon 15 11 10 4.1 88"
"EF4113FA__2023_bear-RYZENROCKS.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\other\EF4113FA__2023_bear-RYZENROCKS.pdf","D:\DOCUMENTS\PDF FILES\2023_bear-RYZENROCKS.pdf","harvest_report","","ok","2023","2023","harvest_hr_applies_to_report_year","EF4113FA__2023_bear-RYZENROCKS.pdf other 2023 harvest_report   2 Utah Black Bear Guidebook • 2023wildlife.utah.gov CONTENTS 6 Key dates and fees 7     Discounted licenses for disabled  veterans 8 Basic requirements 9 Required orientation course 9 Utah’ s Trial Hunting Program 10 Prepare to apply 12 Why bonus points matter 13 Are you eligible to apply? 13 Waiting period 13 Hunters with disabilities 14 Apply for a permit 16 After you apply 16 Checking in your bear 16 Permit refunds and exchanges 17 Surrendering a permit 18 Other available permits 18 Harvest-objective permits 18  Hunter Mentoring Program 19 Pursuit permits 19 Conservation and sportsman permits 20  Don’t jeopardize future hunts 21 Points options for deployed military 22 Field regulations 22 Hunting hours 22 Hunting methods 23 Firearms and hunting equipment 26 Use of dogs 27 Bear baiting 29 Prohibited hunting methods 30 Possession and transportation 30 Harvest reporting 31 Trail camera and night-vision   device rules 32 Disposal of wildlife 32 Livestock and commercial crop  depredatio"
"3FE4A76B__2023HuntSuccesspdfhighlighted_1044707759923726 (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other\3FE4A76B__2023HuntSuccesspdfhighlighted_1044707759923726 (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\PDF FILES\2023HuntSuccesspdfhighlighted_1044707759923726 (2026_02_06 06_23_41 UTC).pdf","harvest_report","","ok","2026","2026","harvest_hr_applies_to_report_year","3FE4A76B__2023HuntSuccesspdfhighlighted_1044707759923726 (2026_02_06 06_23_41 UTC).pdf other 2026 harvest_report   2023 Once-in-a-Lifetime Bison Hunt # Hunt name Hunt type Weapon Permits Hunters  afield Harvest Average  days Percent  success Hunter  satisfaction BI0001 Antelope Island OIAL Any Legal Weapon 5 5 5 1.0 100.0 5.0 BI6500 Antelope Island OIAL Any Legal Weapon 2 2 2 1.0 100.0 5.0 BI6503 Henry Mtns OIAL Any Legal Weapon 13 13 12 4.2 92.3 4.5 BI6504 Henry Mtns OIAL Any Legal Weapon 11 11 9 4.5 81.8 4.3 BI6505 Henry Mtns OIAL Any Legal Weapon 22 22 13 5.3 59.1 3.6 BI6506 Henry Mtns OIAL Any Legal Weapon 22 22 18 5.4 83.3 3.9 BI6516 Henry Mtns OIAL Any Legal Weapon 10 9 7 5.1 77.8 4.2 BI6509 Henry Mtns OIAL Archery 5 3 0 7.0 0.0 5.0 BI6534 Book Cliffs, Bitter Creek OIAL Any Legal Weapon 5 5 5 4.3 100.0 3.3 BI6535 Book Cliffs, Bitter Creek OIAL Any Legal Weapon 5 5 2 6.4 40.0 2.4 BI6536 Book Cliffs, Bitter Creek OIAL Any Legal Weapon 5 5 2 6.4 40.0 3.6 BI6532 Book Cliffs, Bitter Creek OIAL Archery 5 5 2 11.4 40.0 2.8 BI6529 Book Cliffs, Little Creek/South OIAL Any Legal Weapon 15 11 10 4.1 88"
"60797160__2025_le_bull_elk_disability_season_extensions (2025_12_24 22_29_05 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\other\60797160__2025_le_bull_elk_disability_season_extensions (2025_12_24 22_29_05 UTC).pdf","D:\DOCUMENTS\PDF FILES\2025_le_bull_elk_disability_season_extensions (2025_12_24 22_29_05 UTC).pdf","regulation","","ok","2025","2025","regulation_same_year","60797160__2025_le_bull_elk_disability_season_extensions (2025_12_24 22_29_05 UTC).pdf other 2025 regulation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Hunt Number Hunt Name Season Dates  Species Weapon Disabled Extension   EB3130 Box Elder , Pilot Mtn Aug 16  2025 - Sept 07 2025 Bull Elk  Archery No extension.  Season is over 21 days.  EB3000 Beaver, East  Aug 16  2025 - Sept 16 2025 Bull Elk  Archery No extension.  Season is over 21 days.  EB3160 Book Clif fs, Bitter Creek/East Aug 16  2025 - Sept 16 2025 Bull Elk  "
"EB8A4E43__2025_le_bull_elk_disability_season_extensions EDIT (2025_12_24 22_29_05 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\other\EB8A4E43__2025_le_bull_elk_disability_season_extensions EDIT (2025_12_24 22_29_05 UTC).pdf","D:\DOCUMENTS\PDF FILES\2025_le_bull_elk_disability_season_extensions EDIT (2025_12_24 22_29_05 UTC).pdf","regulation","","ok","2025","2025","regulation_same_year","EB8A4E43__2025_le_bull_elk_disability_season_extensions EDIT (2025_12_24 22_29_05 UTC).pdf other 2025 regulation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     EB3171 Cache, South Oct 04 2025 - Oct 16 2025 Bull Elk Any Legal Weapon Oct 17 2025 - Oct 26 2025  EB3033 Cache, Meadowville Nov 08 2025 - Nov 16 2025 Bull Elk Any Legal Weapon Nov 17 2025 - Nov 26 2025  EB3037 Cache, South Nov 08 2025 - Nov 16 2025 Bull Elk Any Legal Weapon Nov 17 2025 - Nov 26 2025  EB3039 Manti Nov 08 2025 - Nov 16 2025 Bull Elk Any Legal Weapon Nov 17 2025 - Nov 26 2025  EB3043 Fillmore, Pahvant N"
"FF2416E2__2025-27_conservation_permits (1).PDF","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\other\FF2416E2__2025-27_conservation_permits (1).PDF","D:\DOCUMENTS\PDF FILES\2025-27_conservation_permits (1).PDF","regulation","","ok","2025","2025","regulation_same_year","FF2416E2__2025-27_conservation_permits (1).PDF other 2025 regulation    5 10 15 20 25 30 35 40 45 50 55 60 5 10 15 20 25 30 35 40 45 50 55 60 336 2025- 2027 Multi-Year Conservation Permit working list Total permits issued:  Total value issued: $ 8,165,414.25  No. Species Area Condition Value Organization  1 Antlerless Elk Cache Any Legal Weapon $800.00 1 RMEF  2 Antlerless Elk Cache Any Legal Weapon $800.00 2 WCF  3 Antlerless Elk Cache Any Legal Weapon $800.00 3 NWTF  4 Antlerless Elk Cache Any Legal Weapon $800.00 4 RMEF  Antlerless Elk Fishlake Any Legal Weapon $2,279.17 SCI  6 Antlerless Elk Fishlake Any Legal Weapon $2,279.17 6 SFW  7 Antlerless Elk Fishlake Any Legal Weapon $2,279.17 7 SFW  8 Antlerless Elk Fishlake Any Legal Weapon $2,279.17 8 SFW  9 Antlerless Elk La Sal Any Legal Weapon $800.00 9 NWTF  Antlerless Elk La Sal Any Legal Weapon $800.00 UAA  11 Antlerless Elk La Sal Any Legal Weapon $800.00 11 WCF  12 Antlerless Elk La Sal Any Legal Weapon $800.00 12 WCF  13 Antlerless Elk Manti Any Legal Weapon $2,108.33 13 SFW  14 Antlerless Elk Ma"
"280C9AAD__2025-27_conservation_permits (2026_01_18 23_35_20 UTC).PDF","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other\280C9AAD__2025-27_conservation_permits (2026_01_18 23_35_20 UTC).PDF","D:\DOCUMENTS\PDF FILES\2025-27_conservation_permits (2026_01_18 23_35_20 UTC).PDF","regulation","","ok","2026","2026","regulation_same_year","280C9AAD__2025-27_conservation_permits (2026_01_18 23_35_20 UTC).PDF other 2026 regulation    5 10 15 20 25 30 35 40 45 50 55 60 5 10 15 20 25 30 35 40 45 50 55 60 336 2025- 2027 Multi-Year Conservation Permit working list Total permits issued:  Total value issued: $ 8,165,414.25  No. Species Area Condition Value Organization  1 Antlerless Elk Cache Any Legal Weapon $800.00 1 RMEF  2 Antlerless Elk Cache Any Legal Weapon $800.00 2 WCF  3 Antlerless Elk Cache Any Legal Weapon $800.00 3 NWTF  4 Antlerless Elk Cache Any Legal Weapon $800.00 4 RMEF  Antlerless Elk Fishlake Any Legal Weapon $2,279.17 SCI  6 Antlerless Elk Fishlake Any Legal Weapon $2,279.17 6 SFW  7 Antlerless Elk Fishlake Any Legal Weapon $2,279.17 7 SFW  8 Antlerless Elk Fishlake Any Legal Weapon $2,279.17 8 SFW  9 Antlerless Elk La Sal Any Legal Weapon $800.00 9 NWTF  Antlerless Elk La Sal Any Legal Weapon $800.00 UAA  11 Antlerless Elk La Sal Any Legal Weapon $800.00 11 WCF  12 Antlerless Elk La Sal Any Legal Weapon $800.00 12 WCF  13 Antlerless Elk Manti Any Legal Weapon $2,108.33 13 SFW  14 Antlerless Elk Ma"
