source_path,filename,source_year_folder,inferred_year,inferred_year_method,doc_type,confidence,move_now,dest_path,action,action_note,final_path
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2020\other\3B1EC975__DM DNF Outfitter_Guide_Special_Use_permit_renewal_2020_0330_signed (1).pdf,3B1EC975__DM DNF Outfitter_Guide_Special_Use_permit_renewal_2020_0330_signed (1).pdf,2020,2020,name_4digit,non_database,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\3B1EC975__DM DNF Outfitter_Guide_Special_Use_permit_renewal_2020_0330_signed (1).pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\3B1EC975__DM DNF Outfitter_Guide_Special_Use_permit_renewal_2020_0330_signed (1).pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2021\other\2A5894B9__2021_antlerless_hr.pdf,2A5894B9__2021_antlerless_hr.pdf,2021,2021,name_4digit,harvest_report,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2021\pdf\harvest_report\2A5894B9__2021_antlerless_hr.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2021\pdf\harvest_report\2A5894B9__2021_antlerless_hr.pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2023\other\2020A1B2__conservation_permit_report_2023.pdf,2020A1B2__conservation_permit_report_2023.pdf,2023,2020,name_4digit,harvest_report,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2020\pdf\harvest_report\2020A1B2__conservation_permit_report_2023.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2020\pdf\harvest_report\2020A1B2__conservation_permit_report_2023.pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2023\other\26229CDE__23_black_bear_report.pdf,26229CDE__23_black_bear_report.pdf,2023,2023,name_2digit,harvest_report,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2023\pdf\harvest_report\26229CDE__23_black_bear_report.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2023\pdf\harvest_report\26229CDE__23_black_bear_report.pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2023\other\36011E1E__2023 Outfitter.pdf,36011E1E__2023 Outfitter.pdf,2023,2023,name_4digit,non_database,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\36011E1E__2023 Outfitter.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\36011E1E__2023 Outfitter.pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2023\other\527EA474__2023_conservation_permit_bids.pdf,527EA474__2023_conservation_permit_bids.pdf,2023,2023,name_4digit,other_hunt,manual_review,no,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\manual_review\527EA474__2023_conservation_permit_bids.pdf,manual_review,not high-confidence database routing,
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2023\other\E54ABC77__2023 SSEO Commercial Price V1.0 OPTIC PRO ONLY - 15DEC22.pdf,E54ABC77__2023 SSEO Commercial Price V1.0 OPTIC PRO ONLY - 15DEC22.pdf,2023,2023,name_4digit,non_database,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\E54ABC77__2023 SSEO Commercial Price V1.0 OPTIC PRO ONLY - 15DEC22.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\E54ABC77__2023 SSEO Commercial Price V1.0 OPTIC PRO ONLY - 15DEC22.pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2024\other\097E3DE2__David Baker Hunt Contract 2024  2.pdf,097E3DE2__David Baker Hunt Contract 2024  2.pdf,2024,2024,name_4digit,non_database,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\097E3DE2__David Baker Hunt Contract 2024  2.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\097E3DE2__David Baker Hunt Contract 2024  2.pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2024\other\823F96E2__Matt Lacek Hunt Contract Archery Mature Bull Manti 2024.pdf,823F96E2__Matt Lacek Hunt Contract Archery Mature Bull Manti 2024.pdf,2024,2024,name_4digit,non_database,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\823F96E2__Matt Lacek Hunt Contract Archery Mature Bull Manti 2024.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_quarantine\pdf\no_strong_hunt_signal\823F96E2__Matt Lacek Hunt Contract Archery Mature Bull Manti 2024.pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2025\other\71BA1A4A__cougar_guidebook.pdf,71BA1A4A__cougar_guidebook.pdf,2025,,none,regulation,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\regulation\71BA1A4A__cougar_guidebook.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\regulation\71BA1A4A__cougar_guidebook.pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2025\other\82BF7762__upland_turkey_guidebook.pdf,82BF7762__upland_turkey_guidebook.pdf,2025,,none,regulation,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\regulation\82BF7762__upland_turkey_guidebook.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\regulation\82BF7762__upland_turkey_guidebook.pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2025\other\8C1294DD__2025-27_conservation_permits.pdf,8C1294DD__2025-27_conservation_permits.pdf,2025,2025,name_4digit,regulation,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\regulation\8C1294DD__2025-27_conservation_permits.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\regulation\8C1294DD__2025-27_conservation_permits.pdf
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\_staging\downloads_import\2025\other\9C4DAAFC__black-bear-and-cougar-guidebook.pdf,9C4DAAFC__black-bear-and-cougar-guidebook.pdf,2025,,none,regulation,high,yes,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\regulation\9C4DAAFC__black-bear-and-cougar-guidebook.pdf,moved,,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\regulation\9C4DAAFC__black-bear-and-cougar-guidebook.pdf
