hunt_code,year,residency,points,application_value_score,decision_label,modeled_draw_probability_score,hunt_quality_score,point_value_score,demand_opportunity_score,permit_stability_score
BI6500,2026,Resident,32,43.987,INSUFFICIENT DATA,0.0,80.75,92.0,0.0,100.0
BI6500,2026,Resident,31,95.188,STRONG APPLY,100.0,80.75,100.0,100.0,100.0
BI6500,2026,Resident,30,58.362,HIGH QUALITY / BAD ODDS,12.5,80.75,92.0,66.667,100.0
BI6500,2026,Resident,29,46.973,HIGH QUALITY / BAD ODDS,4.167,80.75,84.0,18.182,100.0
BI6500,2026,Resident,28,44.681,HIGH QUALITY / BAD ODDS,3.125,80.75,76.0,13.333,100.0
BI6500,2026,Resident,27,42.421,HIGH QUALITY / BAD ODDS,2.083,80.75,68.0,8.696,100.0
BI6500,2026,Resident,26,41.138,HIGH QUALITY / BAD ODDS,2.0,80.75,60.0,8.333,100.0
BI6500,2026,Resident,25,39.455,HIGH QUALITY / BAD ODDS,1.515,80.75,52.0,6.25,100.0
BI6500,2026,Resident,24,37.964,HIGH QUALITY / BAD ODDS,1.22,80.75,44.0,5.0,100.0
BI6500,2026,Resident,23,36.826,HIGH QUALITY / BAD ODDS,1.282,80.75,36.0,5.263,100.0
BI6500,2026,Resident,22,35.694,HIGH QUALITY / BAD ODDS,1.351,80.75,28.0,5.556,100.0
BI6500,2026,Resident,21,34.394,HIGH QUALITY / BAD ODDS,1.25,80.75,20.0,5.128,100.0
BI6500,2026,Resident,20,33.502,HIGH QUALITY / BAD ODDS,1.562,80.75,12.0,6.452,100.0
BI6500,2026,Resident,19,31.812,HIGH QUALITY / BAD ODDS,1.064,80.75,4.0,4.348,100.0
BI6500,2026,Resident,18,31.364,HIGH QUALITY / BAD ODDS,1.22,80.75,0.0,5.0,100.0
BI6500,2026,Resident,17,31.494,HIGH QUALITY / BAD ODDS,1.351,80.75,0.0,5.556,100.0
BI6500,2026,Resident,16,31.095,HIGH QUALITY / BAD ODDS,0.943,80.75,0.0,3.846,100.0
BI6500,2026,Resident,15,31.061,HIGH QUALITY / BAD ODDS,0.909,80.75,0.0,3.704,100.0
BI6500,2026,Resident,14,30.949,HIGH QUALITY / BAD ODDS,0.794,80.75,0.0,3.226,100.0
BI6500,2026,Resident,13,30.737,HIGH QUALITY / BAD ODDS,0.575,80.75,0.0,2.326,100.0
BI6500,2026,Resident,12,30.872,HIGH QUALITY / BAD ODDS,0.714,80.75,0.0,2.899,100.0
BI6500,2026,Resident,11,30.713,HIGH QUALITY / BAD ODDS,0.549,80.75,0.0,2.222,100.0
BI6500,2026,Resident,10,30.63,HIGH QUALITY / BAD ODDS,0.463,80.75,0.0,1.869,100.0
BI6500,2026,Resident,9,30.503,HIGH QUALITY / BAD ODDS,0.331,80.75,0.0,1.333,100.0
BI6500,2026,Resident,8,30.489,HIGH QUALITY / BAD ODDS,0.316,80.75,0.0,1.274,100.0
BI6500,2026,Resident,7,30.452,HIGH QUALITY / BAD ODDS,0.278,80.75,0.0,1.117,100.0
BI6500,2026,Resident,6,30.448,HIGH QUALITY / BAD ODDS,0.273,80.75,0.0,1.099,100.0
BI6500,2026,Resident,5,30.379,HIGH QUALITY / BAD ODDS,0.201,80.75,0.0,0.806,100.0
BI6500,2026,Resident,4,30.374,HIGH QUALITY / BAD ODDS,0.196,80.75,0.0,0.787,100.0
BI6500,2026,Resident,3,30.355,HIGH QUALITY / BAD ODDS,0.176,80.75,0.0,0.707,100.0
BI6500,2026,Resident,2,30.329,HIGH QUALITY / BAD ODDS,0.148,80.75,0.0,0.595,100.0
BI6500,2026,Resident,1,31.57,HIGH QUALITY / BAD ODDS,1.429,80.75,0.0,5.882,100.0
BI6500,2026,Resident,0,30.285,HIGH QUALITY / BAD ODDS,0.102,80.75,0.0,0.409,100.0
BI6500,2026,Nonresident,32,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,31,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,30,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,29,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,28,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,27,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,26,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,25,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,24,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,23,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,22,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,21,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,20,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,19,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,18,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,17,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,16,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,15,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,14,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,13,22.688,INSUFFICIENT DATA,0.0,74.75,0.0,0.0,40.0
BI6500,2026,Nonresident,12,23.288,INSUFFICIENT DATA,0.0,74.75,4.0,0.0,40.0
BI6500,2026,Nonresident,11,24.488,INSUFFICIENT DATA,0.0,74.75,12.0,0.0,40.0
BI6500,2026,Nonresident,10,25.688,INSUFFICIENT DATA,0.0,74.75,20.0,0.0,40.0
BI6500,2026,Nonresident,9,26.887,INSUFFICIENT DATA,0.0,74.75,28.0,0.0,40.0
BI6500,2026,Nonresident,8,28.087,INSUFFICIENT DATA,0.0,74.75,36.0,0.0,40.0
BI6500,2026,Nonresident,7,29.288,INSUFFICIENT DATA,0.0,74.75,44.0,0.0,40.0
BI6500,2026,Nonresident,6,30.488,INSUFFICIENT DATA,0.0,74.75,52.0,0.0,40.0
BI6500,2026,Nonresident,5,31.688,INSUFFICIENT DATA,0.0,74.75,60.0,0.0,40.0
BI6500,2026,Nonresident,4,32.888,INSUFFICIENT DATA,0.0,74.75,68.0,0.0,40.0
BI6500,2026,Nonresident,3,34.087,INSUFFICIENT DATA,0.0,74.75,76.0,0.0,40.0
BI6500,2026,Nonresident,2,35.288,INSUFFICIENT DATA,0.0,74.75,84.0,0.0,40.0
BI6500,2026,Nonresident,1,36.487,INSUFFICIENT DATA,0.0,74.75,92.0,0.0,40.0
BI6500,2026,Nonresident,0,37.688,INSUFFICIENT DATA,0.0,74.75,100.0,0.0,40.0
BI6503,2026,Resident,32,34.972,INSUFFICIENT DATA,0.0,69.487,84.0,0.0,50.0
BI6503,2026,Resident,31,36.172,INSUFFICIENT DATA,0.0,69.487,92.0,0.0,50.0
BI6503,2026,Resident,30,37.372,INSUFFICIENT DATA,0.0,69.487,100.0,0.0,50.0
BI6503,2026,Resident,29,53.126,SLEEPER,22.727,69.487,92.0,60.0,50.0
BI6503,2026,Resident,28,38.422,POINT CREEP WARNING,1.562,69.487,84.0,19.355,50.0
BI6503,2026,Resident,27,36.384,POINT CREEP WARNING,1.19,69.487,76.0,14.634,50.0
BI6503,2026,Resident,26,34.521,POINT CREEP WARNING,0.893,69.487,68.0,10.909,50.0
BI6503,2026,Resident,25,32.926,POINT CREEP WARNING,0.714,69.487,60.0,8.696,50.0
BI6503,2026,Resident,24,32.02,POINT CREEP WARNING,0.847,69.487,52.0,10.345,50.0
BI6503,2026,Resident,23,30.701,POINT CREEP WARNING,0.794,69.487,44.0,9.677,50.0
BI6503,2026,Resident,22,29.915,POINT CREEP WARNING,0.98,69.487,36.0,12.0,50.0
BI6503,2026,Resident,21,28.301,POINT CREEP WARNING,0.794,69.487,28.0,9.677,50.0
BI6503,2026,Resident,20,26.861,POINT CREEP WARNING,0.685,69.487,20.0,8.333,50.0
BI6503,2026,Resident,19,25.496,POINT CREEP WARNING,0.61,69.487,12.0,7.407,50.0
BI6503,2026,Resident,18,24.024,POINT CREEP WARNING,0.485,69.487,4.0,5.882,50.0
BI6503,2026,Resident,17,23.33,POINT CREEP WARNING,0.442,69.487,0.0,5.357,50.0
BI6503,2026,Resident,16,23.348,POINT CREEP WARNING,0.45,69.487,0.0,5.455,50.0
BI6503,2026,Resident,15,23.424,POINT CREEP WARNING,0.485,69.487,0.0,5.882,50.0
BI6503,2026,Resident,14,23.456,POINT CREEP WARNING,0.5,69.487,0.0,6.061,50.0
BI6503,2026,Resident,13,23.238,POINT CREEP WARNING,0.4,69.487,0.0,4.839,50.0
BI6503,2026,Resident,12,23.167,POINT CREEP WARNING,0.368,69.487,0.0,4.444,50.0
BI6503,2026,Resident,11,23.043,POINT CREEP WARNING,0.311,69.487,0.0,3.75,50.0
BI6503,2026,Resident,10,22.934,POINT CREEP WARNING,0.26,69.487,0.0,3.141,50.0
BI6503,2026,Resident,9,22.795,POINT CREEP WARNING,0.196,69.487,0.0,2.362,50.0
BI6503,2026,Resident,8,22.807,POINT CREEP WARNING,0.202,69.487,0.0,2.429,50.0
BI6503,2026,Resident,7,22.75,POINT CREEP WARNING,0.175,69.487,0.0,2.113,50.0
BI6503,2026,Resident,6,22.714,POINT CREEP WARNING,0.159,69.487,0.0,1.911,50.0
BI6503,2026,Resident,5,22.699,POINT CREEP WARNING,0.152,69.487,0.0,1.829,50.0
BI6503,2026,Resident,4,22.695,POINT CREEP WARNING,0.15,69.487,0.0,1.807,50.0
BI6503,2026,Resident,3,22.65,POINT CREEP WARNING,0.129,69.487,0.0,1.554,50.0
BI6503,2026,Resident,2,22.614,POINT CREEP WARNING,0.113,69.487,0.0,1.354,50.0
BI6503,2026,Resident,1,24.752,POINT CREEP WARNING,1.087,69.487,0.0,13.333,50.0
BI6503,2026,Resident,0,22.55,POINT CREEP WARNING,0.083,69.487,0.0,0.997,50.0
BI6503,2026,Nonresident,32,29.659,INSUFFICIENT DATA,0.0,68.237,84.0,0.0,0.0
BI6503,2026,Nonresident,31,30.859,INSUFFICIENT DATA,0.0,68.237,92.0,0.0,0.0
BI6503,2026,Nonresident,30,82.059,STRONG APPLY,100.0,68.237,100.0,100.0,0.0
BI6503,2026,Nonresident,29,50.234,GOOD VALUE,12.5,68.237,92.0,100.0,0.0
BI6503,2026,Nonresident,28,44.704,LOW VALUE,6.25,68.237,84.0,85.714,0.0
BI6503,2026,Nonresident,27,35.553,LOW VALUE,3.125,68.237,76.0,40.0,0.0
BI6503,2026,Nonresident,26,39.009,LOW VALUE,5.0,68.237,68.0,66.667,0.0
BI6503,2026,Nonresident,25,33.654,DO NOT BURN POINTS,3.333,68.237,60.0,42.857,0.0
BI6503,2026,Nonresident,24,33.032,DO NOT BURN POINTS,3.571,68.237,52.0,46.154,0.0
BI6503,2026,Nonresident,23,27.346,DO NOT BURN POINTS,1.667,68.237,44.0,20.69,0.0
BI6503,2026,Nonresident,22,30.632,DO NOT BURN POINTS,3.571,68.237,36.0,46.154,0.0
BI6503,2026,Nonresident,21,26.871,DO NOT BURN POINTS,2.5,68.237,28.0,31.579,0.0
BI6503,2026,Nonresident,20,24.169,DO NOT BURN POINTS,1.852,68.237,20.0,23.077,0.0
